episode,robots_requested,seed,robots_spawned,robots_completed,completion_rate,safe_success,ticks,makespan,collisions,waits,replans,blocked_intents,epsilon,q_states,q_decisions,q_updates,q_wait_actions,q_yield_actions,q_replan_actions
1,10,612385486,10,10,1.0,True,175,175,0,5,2,5,0.19940000000000002,9,5,5,5,0,0
2,20,179587351,20,20,1.0,True,184,184,0,6,3,6,0.19880180000000003,15,11,11,10,1,0
3,30,678855015,30,30,1.0,False,214,214,1,37,19,40,0.19820539460000003,47,51,51,45,6,0
4,40,250415600,40,40,1.0,True,229,229,0,26,10,26,0.19761077841620003,54,77,77,70,7,0
5,45,877251209,45,45,1.0,False,248,248,1,60,28,67,0.19701794608095144,73,144,144,132,12,0
6,50,902762750,50,50,1.0,False,222,222,6,181,85,186,0.1964268922427086,126,330,330,307,23,0
7,10,297738788,10,10,1.0,True,193,193,0,0,0,0,0.19583761156598048,126,330,330,307,23,0
8,20,514287012,20,20,1.0,True,187,187,0,7,3,7,0.19525009873128255,127,337,337,314,23,0
9,30,699929305,30,30,1.0,False,195,195,1,50,22,56,0.1946643484350887,140,393,393,365,28,0
10,40,945176277,40,40,1.0,True,192,192,0,13,5,13,0.19408035538978344,142,406,406,378,28,0
11,45,956500977,45,45,1.0,False,238,238,1,84,39,91,0.19349811432361408,154,497,497,455,42,0
12,50,571956172,50,50,1.0,False,211,211,1,44,25,53,0.19291761998064325,163,550,550,504,46,0
13,10,975847197,10,10,1.0,True,191,191,0,0,0,0,0.1923388671207013,163,550,550,504,46,0
14,20,566249171,20,20,1.0,True,190,190,0,9,3,12,0.1917618505193392,163,562,562,514,48,0
15,30,200266330,30,30,1.0,True,187,187,0,9,4,10,0.19118656496778116,164,572,572,522,50,0
16,40,699786654,40,40,1.0,False,217,217,1,71,33,81,0.19061300527287783,168,653,653,591,62,0
17,45,971951314,45,45,1.0,False,214,214,1,40,17,44,0.1900411662570592,175,697,697,630,67,0
18,50,662624631,50,50,1.0,True,200,200,0,43,22,52,0.18947104275828802,175,749,749,671,78,0
19,10,540515021,10,10,1.0,True,203,203,0,0,0,0,0.18890262963001317,175,749,749,671,78,0
20,20,344666014,20,20,1.0,True,186,186,0,9,4,9,0.18833592174112312,175,758,758,679,79,0
21,30,737688678,30,30,1.0,True,194,194,0,18,8,20,0.18777091397589976,175,778,778,699,79,0
22,40,567221538,40,40,1.0,True,216,216,0,23,9,23,0.18720760123397207,176,801,801,720,81,0
23,45,516432330,45,45,1.0,True,203,203,0,45,21,46,0.18664597843027014,176,847,847,759,88,0
24,50,478087950,50,50,1.0,False,213,213,4,90,47,94,0.18608604049497934,186,941,941,838,103,0
25,10,303014845,10,10,1.0,True,195,195,0,0,0,0,0.1855277823734944,186,941,941,838,103,0
26,20,722540392,20,20,1.0,True,187,187,0,4,2,4,0.18497119902637393,186,945,945,841,104,0
27,30,682491594,30,30,1.0,True,214,214,0,19,8,21,0.1844162854292948,189,966,966,855,111,0
28,40,75991389,40,40,1.0,True,215,215,0,18,10,20,0.18386303657300693,189,986,986,872,114,0
29,45,323512462,45,45,1.0,False,205,205,2,50,23,52,0.1833114474632879,193,1038,1038,915,123,0
30,50,444281304,50,50,1.0,False,195,195,4,44,28,50,0.18276151312089803,194,1088,1088,951,137,0
31,10,332064771,10,10,1.0,True,182,182,0,2,1,2,0.18221322858153532,194,1090,1090,953,137,0
